"title","keyword"
"EFTA: A Database Retrieval Algebra for Feature Terms","vitae"
"Knowledge in Operation","Sed"
"An Overview on Planning Applications in PROTOS-L","tincidunt,"
"An Overview on Planning Applications in PROTOS-L","diam"
"An Overview on Planning Applications in PROTOS-L","tincidunt"
"Über Ansätze zur Darstellung von Konzepten und Prototypen","posuere"
"Über Ansätze zur Darstellung von Konzepten und Prototypen","tincidunt,"
"Über Ansätze zur Darstellung von Konzepten und Prototypen","posuere"
"Attributive Concept Descriptions with Unions and Complements","vestibulum"
"Attributive Concept Descriptions with Unions and Complements","vitae"
"Ein praktischer Algorithmus für die E-Unifikation","sapien"
"Ein praktischer Algorithmus für die E-Unifikation","Sed"
"Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natürlichen Sprache","Sed"
"Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natürlichen Sprache","tincidunt"
"Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natürlichen Sprache","tincidunt,"
"The Institute for Knowledge Based Systems in the IBM Germany Scientific Center","diam"
"The Institute for Knowledge Based Systems in the IBM Germany Scientific Center","tincidunt"
"The Institute for Knowledge Based Systems in the IBM Germany Scientific Center","velit"
"Konzeption und Implementierung von Gleichheit für einen tableau-basierten Theorem-Beweiser","vitae"
"Konzeption und Implementierung von Gleichheit für einen tableau-basierten Theorem-Beweiser","sapien"
"Konzeption und Implementierung von Gleichheit für einen tableau-basierten Theorem-Beweiser","diam"
"PROTOS-L: Towards a Knowledge Base Programming Language","tincidunt"
"PROTOS-L: Towards a Knowledge Base Programming Language","diam"
"PROTOS-L: Towards a Knowledge Base Programming Language","tincidunt"
"Syntaktische Informationseinheiten zu deutschen Adjektiven","vitae"
"Syntaktische Informationseinheiten zu deutschen Adjektiven","vestibulum"
"Syntaktische Informationseinheiten zu deutschen Adjektiven","tincidunt"
"On the Interpretation of Equality, Sorts, and Logic Programming","velit"
"On the Interpretation of Equality, Sorts, and Logic Programming","posuere"
"DInG - ein Domänen-orientierter Inkrementeller und Integrierter Generator für kohärente Texte","tincidunt,"
"Prozedurale Semantik. Repräsentation der Sprechergegenwart.","Sed"
"Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung","vitae"
"Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung","tincidunt"
"Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung","tincidunt,"
"""Dictionary Dialog"" - Entwurf des Funktionsumfangs für eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterstützten Übersetzungssystems und prototypische Erstellung der Bildschirmfolge für die Funktion ""Semantische Relation""","Sed"
"""Dictionary Dialog"" - Entwurf des Funktionsumfangs für eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterstützten Übersetzungssystems und prototypische Erstellung der Bildschirmfolge für die Funktion ""Semantische Relation""","Sed"
"Zur Behandlung komplexer Objekte in LILOG","tincidunt,"
"Computational aspects of three-valued logic","posuere"
"Computational aspects of three-valued logic","sapien"
"Computational aspects of three-valued logic","diam"
"Semantics of Logic Programs with Equational Abstract Data Type Specifications","velit"
"Semantics of Logic Programs with Equational Abstract Data Type Specifications","vestibulum"
"Semantics of Logic Programs with Equational Abstract Data Type Specifications","Sed"
"Processing Spatial Knowledge in LILOG","sapien"
"Processing Spatial Knowledge in LILOG","tincidunt"
"A Reusable Lexical Database Tool for Machine Translation","velit"
"A Reusable Lexical Database Tool for Machine Translation","Sed"
"A Reusable Lexical Database Tool for Machine Translation","diam"
"Der Lambek-Kalkül. Eine Logik für lexikalische Grammatiken","tincidunt"
"Der Lambek-Kalkül. Eine Logik für lexikalische Grammatiken","tincidunt"
"Parenthetische Konstruktionen des Deutschen.","vitae"
"Parenthetische Konstruktionen des Deutschen.","velit"
"Parenthetische Konstruktionen des Deutschen.","non"
"Symmetric Coordination: An Alternative Theory of Phrase Structure","vestibulum"
"Symmetric Coordination: An Alternative Theory of Phrase Structure","Sed"
"An Approach to Manage Large Inheritance Networks","sapien"
"An Approach to Manage Large Inheritance Networks","Sed"
"An Approach to Manage Large Inheritance Networks","sapien"
"On the Problem of Masking Special Errors by Serial Signature Analysis","tincidunt,"
"Eine dreiwertige Logik zur Verarbeitung partieller Information","posuere"
"An Inference Engine for Function Free Logic Programs","sapien"
"An Inference Engine for Function Free Logic Programs","diam"
"An Inference Engine for Function Free Logic Programs","vitae"
"Aspekte der Generierung von Wegbeschreibungen","tincidunt,"
"Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks","non"
"Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks","vestibulum"
"A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras","vitae"
"A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras","vitae"
"Subsumtion für eine erweiterte attributive Sortenbeschreibungssprache","Sed"
"Mathematische Grundlagen der formalen Linguistik - Ein Kompendium","posuere"
"Mathematische Grundlagen der formalen Linguistik - Ein Kompendium","diam"
"Die Struktur des Lexikons für LILOG","vestibulum"
"Die Struktur des Lexikons für LILOG","non"
"Die Konzeption des EXCEPT-Systems: Ein Überblick","non"
"Die Konzeption des EXCEPT-Systems: Ein Überblick","velit"
"Richtungsangabe oder Wegkonnektor? Rämliches ""Zurück"" und seine Semantik","vitae"
"Richtungsangabe oder Wegkonnektor? Rämliches ""Zurück"" und seine Semantik","velit"
"Richtungsangabe oder Wegkonnektor? Rämliches ""Zurück"" und seine Semantik","velit"
"Vorüberlegungen zur depiktionalen Repräsentation räumlichen Wissens","vestibulum"
"Vorüberlegungen zur depiktionalen Repräsentation räumlichen Wissens","vestibulum"
"Vorüberlegungen zur depiktionalen Repräsentation räumlichen Wissens","tincidunt"
"Fully Persistent B","vitae"
"Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?","non"
"Database Snapshots.","vitae"
"At Ease with ""AT""","vestibulum"
"At Ease with ""AT""","velit"
"At Ease with ""AT""","velit"
"Datenbankunterstützung für wissensbasierte Systeme","vitae"
"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke","tincidunt,"
"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke","velit"
"Temporales Schließen in einem natürlichsprachlichen System","non"
"Temporales Schließen in einem natürlichsprachlichen System","Sed"
"Zur intelligenten Organisation von Wissensbeständen in künstlichen Systemen","velit"
"Zur intelligenten Organisation von Wissensbeständen in künstlichen Systemen","sapien"
"The Semantics of Asserting and Retracting Clauses to Logic Programs","vitae"
"Correctness Proof for the WAM","tincidunt,"
"Correctness Proof for the WAM","Sed"
"Correctness Proof for the WAM","tincidunt,"
"Word Order and Focus Projection","Sed"
"Word Order and Focus Projection","non"
"KL-ONE: Eine Einführung","non"
"Improving the Concurrency of Integrity Checks and Write Operations","posuere"
"Improving the Concurrency of Integrity Checks and Write Operations","non"
"Über Vergleichskonstruktionen","tincidunt"
"Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht","vestibulum"
"Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht","posuere"
"Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht","velit"
"Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte","Sed"
"Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte","tincidunt"
"Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte","sapien"
"Wissensbasierte Systeme in der Medizin: GMDS/GI, Abstracts des 1. gemeinsamen Workshops der AG Expertensysteme der GMDS und der FG Diagnostik und Klassifikation im GI-Fachausschuß 1.5, 29.-30. März 1990, Heidelberg","vitae"
"An Environment for Experimentation with Parsing Strategies","sapien"
"An Environment for Experimentation with Parsing Strategies","vestibulum"
"An Environment for Experimentation with Parsing Strategies","Sed"
"Logisches Clustering von PROTOS-L Prozeduren","velit"
"Logisches Clustering von PROTOS-L Prozeduren","Sed"
"Logisches Clustering von PROTOS-L Prozeduren","posuere"
"Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT","vestibulum"
"Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT","vestibulum"
"Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT","Sed"
"A Model Elimination Calculus for Generalized Clauses","Sed"
"A Model Elimination Calculus for Generalized Clauses","posuere"
"A Model Elimination Calculus for Generalized Clauses","posuere"
"Quantitative Analysen zu Wörterbüchern","velit"
"Quantitative Analysen zu Wörterbüchern","velit"
"Quantitative Analysen zu Wörterbüchern","tincidunt,"
"Lexical Representation of Idioms","vestibulum"
"Lexical Representation of Idioms","tincidunt,"
"Lexical Representation of Idioms","non"
"The LILOG Knowledge Representation System","vitae"
"Mengenkonzepte in Unifikationsgrammatiken","sapien"
"The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.","non"
"On the Treatment of Compounds in Machine Translation. A Study","Sed"
"On the Treatment of Compounds in Machine Translation. A Study","diam"
"Position und Bewegung: Zur Semantik lokaler Verben","posuere"
"Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie","tincidunt,"
"A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof","tincidunt,"
"A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof","posuere"
"Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.","diam"
"Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.","vestibulum"
"Umweltbewertung mit EXCEPT: Darstellung aus ökologischer Sicht","non"
"Umweltbewertung mit EXCEPT: Darstellung aus ökologischer Sicht","diam"
"Umweltbewertung mit EXCEPT: Darstellung aus ökologischer Sicht","tincidunt,"
"Lernverfahren zur Vervollständigung von Hornklauselmengen durch inverse Resolution","tincidunt,"
"Ein Beispiel zur wissensbasierten Produktionsplanung mit PROTOS-L.","non"
"Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Ansätze","vitae"
"Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Ansätze","non"
"Standards für das Programmieren in Prolog für LILOG, Version 2.0","diam"
"Standards für das Programmieren in Prolog für LILOG, Version 2.0","sapien"
"The Term Retrieval Abstract Machine","velit"
"The Term Retrieval Abstract Machine","diam"
"The Term Retrieval Abstract Machine","posuere"
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","vitae"
"Feature Constraint Logics for Unification Grammars","vestibulum"
"Feature Constraint Logics for Unification Grammars","posuere"
"Ein Transaktionskonzept für LILOG","tincidunt,"
"Ein Transaktionskonzept für LILOG","tincidunt"
"Ein Transaktionskonzept für LILOG","non"
"Disjunctive Unification","velit"
"Disjunctive Unification","sapien"
"Disjunctive Unification","Sed"
"Ereignisse und Repräsentationen","Sed"
"Ereignisse und Repräsentationen","sapien"
"On the Role of Reasoning about Change in the Projection of Presuppositions","Sed"
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","tincidunt"
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","vitae"
"A Brief Overlook of LILOG-DB","tincidunt,"
"A Brief Overlook of LILOG-DB","diam"
"A Brief Overlook of LILOG-DB","non"
"Leistungsanalyse des Datenbanksystems LILOG-DB","tincidunt,"
"Leistungsanalyse des Datenbanksystems LILOG-DB","tincidunt"
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","velit"
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","non"
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","tincidunt,"
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","tincidunt,"
"Tableau Calculus for Order Sorted Logic","sapien"
"Tableau Calculus for Order Sorted Logic","Sed"
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","vestibulum"
"Sort-Lattice Management in LILOG-DB","vestibulum"
"Sort-Lattice Management in LILOG-DB","velit"
"Sorted Feature Terms and Relational Dependencies","Sed"
"Sorted Feature Terms and Relational Dependencies","sapien"
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","posuere"
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","vitae"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","sapien"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","tincidunt"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","tincidunt,"
"Wissensbasisverwaltung für LILOG","velit"
"Wissensbasisverwaltung für LILOG","posuere"
"Wissensbasisverwaltung für LILOG","diam"
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Sed"
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","vitae"
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Sed"
"Strategien zur Pronominalisierung","non"
"Strategien zur Pronominalisierung","sapien"
"Index Path Length Evaluation for the Research Storage System of System R.","tincidunt,"
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","sapien"
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Sed"
"Operationen in erweiterten Typunifikationsformalismen","diam"
"WebS - ein System zur Generierung von Wegbeschreibungen","vestibulum"
"Statistische Untersuchungen an einsprachigen Zeitungstexten","non"
"Statistische Untersuchungen an einsprachigen Zeitungstexten","tincidunt"
"Statistische Untersuchungen an einsprachigen Zeitungstexten","tincidunt"
"International Workshop on Terminological Logics - Proceedings","vitae"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","vestibulum"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","tincidunt"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Sed"
"Mathematical Logic and Artificial Intelligence","diam"
"Mathematical Logic and Artificial Intelligence","non"
"Syntaktische Merkmale deutsche Substantive","non"
"Syntaktische Merkmale deutsche Substantive","posuere"
"Die Behandlung von mehrdeutigen Verben in der Maschinellen Übersetzung","vitae"
"Untersuchung zur verteilten Produktionsplanung mit Methoden der logischen Programmierung","vitae"
"Untersuchung zur verteilten Produktionsplanung mit Methoden der logischen Programmierung","diam"
"Stepwise Software Development with Algebraic Specifications","non"
"Stepwise Software Development with Algebraic Specifications","posuere"
"Types, Modules and Databases in the Logic Programming Language PROTOS-L","diam"
"Types, Modules and Databases in the Logic Programming Language PROTOS-L","posuere"
"The Knowledge Representation Language L","tincidunt"
"The Knowledge Representation Language L","velit"
"The Knowledge Representation Language L","sapien"
"Eine Prolog-Theorie für zeitliche Beziehungen zwischen Ereignissen","Sed"
"Eine Prolog-Theorie für zeitliche Beziehungen zwischen Ereignissen","velit"
"Eine Prolog-Theorie für zeitliche Beziehungen zwischen Ereignissen","vestibulum"
"The Stuttgart Type Unification Formalism - User Manual","diam"
"Lokale Verben und Präpositionen: Semantische und konzeptuelle Verarbeitung in LEU II","vitae"
"Lokale Verben und Präpositionen: Semantische und konzeptuelle Verarbeitung in LEU II","diam"
"ILFA Interface Concept","vitae"
"Transactions and Consistency in Distributed Database Systems.","sapien"
"Transactions and Consistency in Distributed Database Systems.","sapien"
"Knowledge Representation in LILOG","velit"
"Knowledge Representation in LILOG","velit"
"Knowledge Representation in LILOG","velit"
"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output","tincidunt,"
"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output","posuere"
"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output","non"
"Using Knowledge-Based Methods to Administrate an Access Control System","non"
"Using Knowledge-Based Methods to Administrate an Access Control System","posuere"
"Zur Verarbeitung von Lokalisierungsausdrücken in einem hybriden System","vestibulum"
"Zur Verarbeitung von Lokalisierungsausdrücken in einem hybriden System","non"
"Zur Verarbeitung von Lokalisierungsausdrücken in einem hybriden System","tincidunt,"
"Integration von Constraints in die L","sapien"
"Mentale Bilder und Wegbedeutungen","posuere"
"Pluralbehandlung in natürlichsprachlichen Wissensverabeitungssystemen","tincidunt"
"Pluralbehandlung in natürlichsprachlichen Wissensverabeitungssystemen","vestibulum"
"Pluralbehandlung in natürlichsprachlichen Wissensverabeitungssystemen","velit"
"An Order-Sorted Logic for Knowledge Representation Systems","diam"
"Incremental Vocabulary Extensions in Text Understanding Systems","diam"
"Incremental Vocabulary Extensions in Text Understanding Systems","posuere"
"Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning","vestibulum"
"Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning","non"
"Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning","posuere"
"Database Support for the PROTOS-L System","non"
"Anaphora Resolution for Machine Translation: A Study","sapien"
"Koordination von nichtverbalen Satzkonstituenten","posuere"
"The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report","non"
"A Conceptual Model for Time","tincidunt"
"A Conceptual Model for Time","diam"
"Standards für das Programmieren in Prolog für LILOG, Version 1.0","velit"
"Qualitätssicherung durch Programmverifikation und algebraische Methoden in der Softwareentwicklung","non"
"Feature Graphs and Abstract Data Types: A Unifying Approach","velit"
"Feature Graphs and Abstract Data Types: A Unifying Approach","Sed"
"Feature Graphs and Abstract Data Types: A Unifying Approach","Sed"
"The Many-Valued Theorem Prover ","non"
"Rekonstruktion von Hintergrundwissen für ein wissensbasiertes textverstehendes System","tincidunt"
"A Feature Logic with Subsorts","velit"
"Draft Report of the Logic Programming Language PROTOS-L","tincidunt"
"Draft Report of the Logic Programming Language PROTOS-L","posuere"
"EFTA: An Algebra for Deductive Retrieval of Feature Terms","tincidunt"
"EFTA: An Algebra for Deductive Retrieval of Feature Terms","posuere"
"EFTA: An Algebra for Deductive Retrieval of Feature Terms","posuere"
"EFTA Query Processing in LILOG-DB","tincidunt"
"EFTA Query Processing in LILOG-DB","non"
"A Polynomial Method for Finding Irregularities in Large Example Sets","tincidunt,"
"A Polynomial Method for Finding Irregularities in Large Example Sets","vestibulum"
"Compilation of Complex DATALOG with Stratified Negation","vitae"
"Interaktion von propositionalen und bildhaften Repräsentationen","vestibulum"
"Interaktion von propositionalen und bildhaften Repräsentationen","tincidunt"
"Interaktion von propositionalen und bildhaften Repräsentationen","diam"
"An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information","Sed"
"An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information","sapien"
"An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information","Sed"
"XRM - An Extended (N-ary) Relational Memory.","vestibulum"
"Representation and Reasoning with Attributive Descriptions","Sed"
"Untersuchungen zum Grundwortschatz","Sed"
"Untersuchungen zum Grundwortschatz","vitae"
"Untersuchungen zum Grundwortschatz","sapien"
"Ein modularer Ansatz für prinzipienbasiertes Parsing","diam"
"Ein modularer Ansatz für prinzipienbasiertes Parsing","vestibulum"
"Quantifikation, Plural, Ereignisse und ihre Argumente in einer mehrsortigen Sprache der Prädikatenlogik erster Stufe","Sed"
"Quantifikation, Plural, Ereignisse und ihre Argumente in einer mehrsortigen Sprache der Prädikatenlogik erster Stufe","posuere"
"Quantifikation, Plural, Ereignisse und ihre Argumente in einer mehrsortigen Sprache der Prädikatenlogik erster Stufe","velit"
"OSKAR - A PROLOG Programm for Modelling Dimensional Designation and Positional Variation of Objects in Space","non"
"Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution","posuere"
"Textunderstanding in LILOG - Sorts and Reference Objects","vestibulum"
"Textunderstanding in LILOG - Sorts and Reference Objects","Sed"
"Textunderstanding in LILOG - Sorts and Reference Objects","velit"
"SQL/Data System, Conpects and Facilities.","tincidunt,"
"SQL/Data System, Conpects and Facilities.","diam"
"SQL/Data System, Conpects and Facilities.","posuere"
"Derivationsmorphologie in einem Übersetzungssystem","tincidunt,"
"Derivationsmorphologie in einem Übersetzungssystem","diam"
"Prozedurale Aspekte der Wegplanung und Wegbeschreibung","vitae"
"Projekt ""Elektronische Wörterbücher/Lexika"": Abschlußbericht der Definitionsphase","vitae"
"Projekt ""Elektronische Wörterbücher/Lexika"": Abschlußbericht der Definitionsphase","posuere"
"FLL: A First-Order Language for Deductive Retrieval of Feature Terms","posuere"
"FLL: A First-Order Language for Deductive Retrieval of Feature Terms","diam"
"FLL: A First-Order Language for Deductive Retrieval of Feature Terms","tincidunt"
"Resolution with Feature Unification","Sed"
"Resolution with Feature Unification","Sed"
"Das Problem der VP-Ellipsen im Rahmen einer Theorie der Sachverhaltsanaphern","tincidunt"
"Das Problem der VP-Ellipsen im Rahmen einer Theorie der Sachverhaltsanaphern","sapien"
"Das Problem der VP-Ellipsen im Rahmen einer Theorie der Sachverhaltsanaphern","posuere"
"Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung","tincidunt,"
"Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung","tincidunt,"
"Konzeptuelles Design einer mehrsprachigen lexikalischen Datenbank für die maschinelle Übersetzung","velit"
"Konzeptuelles Design einer mehrsprachigen lexikalischen Datenbank für die maschinelle Übersetzung","Sed"
"Konzeptuelles Design einer mehrsprachigen lexikalischen Datenbank für die maschinelle Übersetzung","diam"
"A Calculus for Order-Sorted Predicate Logic with Sort Literals","posuere"
"A Calculus for Order-Sorted Predicate Logic with Sort Literals","vitae"
"A Calculus for Order-Sorted Predicate Logic with Sort Literals","tincidunt,"
"Persistente Datenspeicherung in einer logischen Programmiersprache mit relationalen und deduktiven Datenbanken","velit"
"Persistente Datenspeicherung in einer logischen Programmiersprache mit relationalen und deduktiven Datenbanken","vestibulum"
"Persistente Datenspeicherung in einer logischen Programmiersprache mit relationalen und deduktiven Datenbanken","posuere"
"Integration eines deduktiven Datenbanksystems in eine Logikprogrammiersprache","Sed"
"Integration eines deduktiven Datenbanksystems in eine Logikprogrammiersprache","sapien"
"Integration eines deduktiven Datenbanksystems in eine Logikprogrammiersprache","posuere"
"On Subsumption and Semiunifaction in Feature Algebras","tincidunt,"
"On Subsumption and Semiunifaction in Feature Algebras","posuere"
"A Knowledge Level Analysis of Belief Revision","sapien"
"A Knowledge Level Analysis of Belief Revision","tincidunt"
"An Effective Representation of Complex Clauses in a Relational Database","posuere"
"Prolog and Natural Language Processing","vestibulum"
"An Anaphora Resolution Procedure for Machine Translation","sapien"
"An Anaphora Resolution Procedure for Machine Translation","sapien"
"An Anaphora Resolution Procedure for Machine Translation","sapien"
"Natural Language Understanding in LILOG: An Intermediate Overview","diam"
