"title","auth_name"
"Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?","Petra Maier"
"Database Snapshots.","Michel E. Adiba"
"Database Snapshots.","Bruce G. Lindsay 0001"
"At Ease with ""AT""","Birgit Wesche"
"Datenbankunterstützung für wissensbasierte Systeme","Stefan Börner"
"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke","Gudrun Klose"
"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke","Ewald Lang"
"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke","Thomas Pirlein"
"Temporales Schließen in einem natürlichsprachlichen System","Gerd Kortüm"
"Zur intelligenten Organisation von Wissensbeständen in künstlichen Systemen","Ipke Wachsmuth"
"The Semantics of Asserting and Retracting Clauses to Logic Programs","Udo Pletat"
"The Semantics of Asserting and Retracting Clauses to Logic Programs","Christoph Beierle"
"Correctness Proof for the WAM","Christoph Beierle"
"Correctness Proof for the WAM","Egon Börger"
"Word Order and Focus Projection","Birgit Wesche"
"Word Order and Focus Projection","Ingrid Renz"
"KL-ONE: Eine Einführung","Kai von Luck"
"Improving the Concurrency of Integrity Checks and Write Operations","Stefan Böttcher"
"Über Vergleichskonstruktionen","Noam Paz"
"Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht","Kurt Eberle"
"Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte","Michael Ley"
"Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte","Bernd Walter"
"An Environment for Experimentation with Parsing Strategies","Gregor Erbach"
"Logisches Clustering von PROTOS-L Prozeduren","Christos Garidis"
"Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT","Jennifer A. Brundage"
"Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT","Maren Kresse"
"Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT","Ulrike Schwall"
"Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT","Angelika Storrer"
"A Model Elimination Calculus for Generalized Clauses","Toni Bollinger"
"Quantitative Analysen zu Wörterbüchern","Stefan J. Schierholz"
"Quantitative Analysen zu Wörterbüchern","Eric Windisch"
"Lexical Representation of Idioms","Gregor Erbach"
"The LILOG Knowledge Representation System","Toni Bollinger"
"The LILOG Knowledge Representation System","Udo Pletat"
"Mengenkonzepte in Unifikationsgrammatiken","Peter Gerstl"
"The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.","Dines Bjørner"
"The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.","E. F. Codd"
"The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.","Kenneth L. Deckert"
"The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.","Irving L. Traiger"
"On the Treatment of Compounds in Machine Translation. A Study","Ulrike Rackow"
"Position und Bewegung: Zur Semantik lokaler Verben","Claudia Maienborn"
"Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie","Sonja Müller"
"A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof","Christoph Beierle"
"A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof","Egon Börger"
"Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.","Rolf Mayer"
"Lernverfahren zur Vervollständigung von Hornklauselmengen durch inverse Resolution","Rüdiger Wirth"
"Ein Beispiel zur wissensbasierten Produktionsplanung mit PROTOS-L.","Holger M. Wittmann"
"Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Ansätze","Mechthild Rickheit"
"Standards für das Programmieren in Prolog für LILOG, Version 2.0","Jan Wilms"
"The Term Retrieval Abstract Machine","Michael Ley"
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","Kai Lebeth"
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","Bernd Abb"
"Feature Constraint Logics for Unification Grammars","Gert Smolka"
"Ein Transaktionskonzept für LILOG","Jörg Heinrich"
"Disjunctive Unification","Andreas Eisele 0001"
"Disjunctive Unification","Jochen Dörre"
"Ereignisse und Repräsentationen","Rainer Bäuerle"
"On the Role of Reasoning about Change in the Projection of Presuppositions","Sven Lorenz"
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","Egon Börger"
"A Brief Overlook of LILOG-DB","Thomas Ludwig 0001"
"Leistungsanalyse des Datenbanksystems LILOG-DB","Michael Klein"
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","E. F. Codd"
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","Robert S. Arnold"
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","Jean-Marc Cadiou"
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","Chin-Liang Chang"
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","Nick Roussopoulos"
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","Tibor Kiss"
"Tableau Calculus for Order Sorted Logic","Peter H. Schmitt"
"Tableau Calculus for Order Sorted Logic","Wolfgang Wernecke"
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","Roland Seiffert"
"Sort-Lattice Management in LILOG-DB","Albert Maier"
"Sorted Feature Terms and Relational Dependencies","Jochen Dörre"
"Sorted Feature Terms and Relational Dependencies","Roland Seiffert"
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","Toni Bollinger"
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","Ulrich Hedtstück"
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","Claus-Rainer Rollinger"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Petra Maier"
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","Petra Steffens"
"Wissensbasisverwaltung für LILOG","Helmar Gust"
"Wissensbasisverwaltung für LILOG","Manfred Grothaus"
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","Esther König"
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","Karin Klabunde"
"Strategien zur Pronominalisierung","Karl Dotzek"
"Index Path Length Evaluation for the Research Storage System of System R.","Sai Choi Kwan"
"Index Path Length Evaluation for the Research Storage System of System R.","H. Raymond Strong"
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","Stefan J. Schierholz"
"Operationen in erweiterten Typunifikationsformalismen","Roland Seiffert"
"WebS - ein System zur Generierung von Wegbeschreibungen","Kai-Uwe Carstensen"
"Statistische Untersuchungen an einsprachigen Zeitungstexten","Nikolaus Ott"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Otthein Herzog"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Claus-Rainer Rollinger"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Peter H. Schmitt"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Petra Steffens"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Rudi Studer"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Birgit Wesche"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Brigitte Bartsch-Spörl"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","F. Günthner"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Christopher Habel"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Siegfried Kanngießer"
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","Christian Rohrer"
"Mathematical Logic and Artificial Intelligence","Peter H. Schmitt"
"Syntaktische Merkmale deutsche Substantive","Stefan J. Schierholz"
"Die Behandlung von mehrdeutigen Verben in der Maschinellen Übersetzung","Elisabeth Breidt"
"Untersuchung zur verteilten Produktionsplanung mit Methoden der logischen Programmierung","Oliver Wauschkuhn"
"Stepwise Software Development with Algebraic Specifications","Christoph Beierle"
"Stepwise Software Development with Algebraic Specifications","Angi Voß"
"Types, Modules and Databases in the Logic Programming Language PROTOS-L","Christoph Beierle"
"The Knowledge Representation Language L","Christoph Beierle"
"The Knowledge Representation Language L","Jochen Dörre"
"The Knowledge Representation Language L","Udo Pletat"
"The Knowledge Representation Language L","Claus-Rainer Rollinger"
"The Knowledge Representation Language L","Peter H. Schmitt"
"The Knowledge Representation Language L","Rudi Studer"
"Eine Prolog-Theorie für zeitliche Beziehungen zwischen Ereignissen","Kurt Eberle"
"The Stuttgart Type Unification Formalism - User Manual","Jochen Dörre"
"The Stuttgart Type Unification Formalism - User Manual","Ingo Raasch"
"Lokale Verben und Präpositionen: Semantische und konzeptuelle Verarbeitung in LEU II","Claudia Maienborn"
"ILFA Interface Concept","Bernd I. Dahn"
"ILFA Interface Concept","Theodor Lettmann"
"ILFA Interface Concept","Wolfgang Schönfeld"
"Transactions and Consistency in Distributed Database Systems.","Irving L. Traiger"
"Transactions and Consistency in Distributed Database Systems.","Jim Gray 0001"
"Transactions and Consistency in Distributed Database Systems.","Cesare A. Galtieri"
"Transactions and Consistency in Distributed Database Systems.","Bruce G. Lindsay 0001"
"Knowledge Representation in LILOG","Udo Pletat"
"Knowledge Representation in LILOG","Kai von Luck"
"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output","Egon Börger"
"Using Knowledge-Based Methods to Administrate an Access Control System","Christoph Lingenfelder"
"Using Knowledge-Based Methods to Administrate an Access Control System","Astrid Schmücker-Schend"
"Zur Verarbeitung von Lokalisierungsausdrücken in einem hybriden System","Simone Pribbenow"
"Integration von Constraints in die L","Joachim Maier"
"Mentale Bilder und Wegbedeutungen","Klaus Rehkämper"
"Pluralbehandlung in natürlichsprachlichen Wissensverabeitungssystemen","Hinrich Schütze"
"An Order-Sorted Logic for Knowledge Representation Systems","Christoph Beierle"
"An Order-Sorted Logic for Knowledge Representation Systems","Ulrich Hedtstück"
"An Order-Sorted Logic for Knowledge Representation Systems","Udo Pletat"
"An Order-Sorted Logic for Knowledge Representation Systems","Peter H. Schmitt"
"An Order-Sorted Logic for Knowledge Representation Systems","Jörg H. Siekmann"
"Incremental Vocabulary Extensions in Text Understanding Systems","Petra Ludewig"
"Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning","Sven Lorenz"
"Database Support for the PROTOS-L System","Stefan Böttcher"
"Database Support for the PROTOS-L System","Christoph Beierle"
"Anaphora Resolution for Machine Translation: A Study","Herbert J. Leass"
"Koordination von nichtverbalen Satzkonstituenten","Ingrid Renz"
"The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report","Thomas Ludwig 0001"
"A Conceptual Model for Time","Rudi Studer"
"Standards für das Programmieren in Prolog für LILOG, Version 1.0","Jan Wilms"
"Qualitätssicherung durch Programmverifikation und algebraische Methoden in der Softwareentwicklung","Christoph Beierle"
"Qualitätssicherung durch Programmverifikation und algebraische Methoden in der Softwareentwicklung","Walter G. Olthoff"
"Qualitätssicherung durch Programmverifikation und algebraische Methoden in der Softwareentwicklung","Angi Voß"
"Feature Graphs and Abstract Data Types: A Unifying Approach","Christoph Beierle"
"Feature Graphs and Abstract Data Types: A Unifying Approach","Udo Pletat"
"The Many-Valued Theorem Prover ","Reiner Hähnle"
"The Many-Valued Theorem Prover ","Bernhard Beckert"
"The Many-Valued Theorem Prover ","Stefan Gerberding"
"The Many-Valued Theorem Prover ","Werner Kernig"
"Rekonstruktion von Hintergrundwissen für ein wissensbasiertes textverstehendes System","Thomas Pirlein"
"A Feature Logic with Subsorts","Gert Smolka"
"Draft Report of the Logic Programming Language PROTOS-L","Christoph Beierle"
"Draft Report of the Logic Programming Language PROTOS-L","Stefan Böttcher"
"Draft Report of the Logic Programming Language PROTOS-L","Gregor Meyer"
"EFTA: An Algebra for Deductive Retrieval of Feature Terms","Thomas Ludwig 0001"
"EFTA Query Processing in LILOG-DB","Erich Gehlen"
"A Polynomial Method for Finding Irregularities in Large Example Sets","Andreas Arning"
"Compilation of Complex DATALOG with Stratified Negation","Thomas Ludwig 0001"
"Interaktion von propositionalen und bildhaften Repräsentationen","Simone Pribbenow"
"An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information","Christoph Beierle"
"An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information","Ulrich Hedtstück"
"An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information","Udo Pletat"
"An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information","Jörg H. Siekmann"
"XRM - An Extended (N-ary) Relational Memory.","Raymond A. Lorie"
"Representation and Reasoning with Attributive Descriptions","Bernhard Nebel"
"Representation and Reasoning with Attributive Descriptions","Gert Smolka"
"Untersuchungen zum Grundwortschatz","Petra Schulz"
"Ein modularer Ansatz für prinzipienbasiertes Parsing","Sebastian Millies"
"Quantifikation, Plural, Ereignisse und ihre Argumente in einer mehrsortigen Sprache der Prädikatenlogik erster Stufe","Kurt Eberle"
"OSKAR - A PROLOG Programm for Modelling Dimensional Designation and Positional Variation of Objects in Space","Ewald Lang"
"OSKAR - A PROLOG Programm for Modelling Dimensional Designation and Positional Variation of Objects in Space","Kai-Uwe Carstensen"
"Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution","Christoph Beierle"
"Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution","Gregor Meyer"
"Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution","Heiner Semle"
"Textunderstanding in LILOG - Sorts and Reference Objects","Claus-Rainer Rollinger"
"Textunderstanding in LILOG - Sorts and Reference Objects","Rudi Studer"
"Textunderstanding in LILOG - Sorts and Reference Objects","Hans Uszkoreit"
"Textunderstanding in LILOG - Sorts and Reference Objects","Ipke Wachsmuth"
"Derivationsmorphologie in einem Übersetzungssystem","Anne Schiller"
"Prozedurale Aspekte der Wegplanung und Wegbeschreibung","Christopher Habel"
"Projekt ""Elektronische Wörterbücher/Lexika"": Abschlußbericht der Definitionsphase","Brigitte Bläser"
"Projekt ""Elektronische Wörterbücher/Lexika"": Abschlußbericht der Definitionsphase","M. Wermke"
"FLL: A First-Order Language for Deductive Retrieval of Feature Terms","Thomas Ludwig 0001"
"Resolution with Feature Unification","Karl-Hans Bläsius"
"Resolution with Feature Unification","Ulrich Hedtstück"
"Das Problem der VP-Ellipsen im Rahmen einer Theorie der Sachverhaltsanaphern","Elke Busch"
"Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung","Jürgen Pietsch"
"Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung","R. Zieschank"
"Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung","D. Marx"
"Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung","P. Klug-Lier"
"Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung","Bernd Page"
"Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung","Ulrike Weiland"
"Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung","D. Eberle"
"Konzeptuelles Design einer mehrsprachigen lexikalischen Datenbank für die maschinelle Übersetzung","Volker Jantzen"
"A Calculus for Order-Sorted Predicate Logic with Sort Literals","Ulrich Hedtstück"
"A Calculus for Order-Sorted Predicate Logic with Sort Literals","Peter H. Schmitt"
"Persistente Datenspeicherung in einer logischen Programmiersprache mit relationalen und deduktiven Datenbanken","Gregor Meyer"
"Persistente Datenspeicherung in einer logischen Programmiersprache mit relationalen und deduktiven Datenbanken","Christoph Beierle"
"Persistente Datenspeicherung in einer logischen Programmiersprache mit relationalen und deduktiven Datenbanken","Ralph Scheubrein"
"Integration eines deduktiven Datenbanksystems in eine Logikprogrammiersprache","Ralph Scheubrein"
"On Subsumption and Semiunifaction in Feature Algebras","Jochen Dörre"
"On Subsumption and Semiunifaction in Feature Algebras","William C. Rounds"
"A Knowledge Level Analysis of Belief Revision","Bernhard Nebel"
"An Effective Representation of Complex Clauses in a Relational Database","Kurt Rothermel"
"Prolog and Natural Language Processing","Roland Seiffert"
"Prolog and Natural Language Processing","Esther König"
"An Anaphora Resolution Procedure for Machine Translation","Herbert J. Leass"
"An Anaphora Resolution Procedure for Machine Translation","Ulrike Schwall"
"Natural Language Understanding in LILOG: An Intermediate Overview","Bart Geurts"
