"title","type","publisher","journal","month","year","language","booktitle","volume","pages","ee"
"Cognitive Linguistics: The Processing of Spatial Concepts","article","IBM Deutschland GmbH","LILOG-Report","",2015,"spanish","","45","",""
"LILOG-DB: Database Support for Knowledge-Based Systems","article","IBM Deutschland GmbH","LILOG-Report","",2021,"spanish","","56","",""
"Differential Closure Computation for General Horn-Clause Queries","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"spanish","","201","",""
"SQL/Data System for VSE: A Relational Data System for Application Development.","article","IBM Corporation, White Plains, NY","IBM Publication","","1981","","","G320-6590","",""
"A Logical Operational Semantics of Full Prolog","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2017,"","","111","",""
"Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte","article","IBM Deutschland GmbH","LILOG-Report","",2013,"","","60","",""
"How could a good system of practical NLP look like?","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2015,"italian","","228","",""
"Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1986,"","","188","",""
"Attribute Inheritance Implemented on Top of a Relational Database System","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2016,"italian","","87","",""
"LMT - Machine Translation Demonstration","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1992,"","","177","",""
"Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment","article","IBM Deutschland GmbH","LILOG-Report","",2021,"italian","","3","",""
"Sort Processing in a Deductive Database System","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2010,"","","154","",""
"EFTA: A Database Retrieval Algebra for Feature Terms","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"","","150","",""
"Knowledge in Operation","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"","","165","",""
"An Overview on Planning Applications in PROTOS-L","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2017,"","","163","",""
"Über Ansätze zur Darstellung von Konzepten und Prototypen","article","IBM Deutschland GmbH","LILOG-Report","",2004,"","","34","",""
"Attributive Concept Descriptions with Unions and Complements","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2016,"","","68","",""
"Ein praktischer Algorithmus für die E-Unifikation","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2017,"","","166","",""
"Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natürlichen Sprache","article","IBM Deutschland GmbH","LILOG-Report","",2011,"","","5","",""
"The Institute for Knowledge Based Systems in the IBM Germany Scientific Center","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2016,"","","126","",""
"Konzeption und Implementierung von Gleichheit für einen tableau-basierten Theorem-Beweiser","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2004,"","","208","",""
"PROTOS-L: Towards a Knowledge Base Programming Language","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2015,"spanish","","89","",""
"Syntaktische Informationseinheiten zu deutschen Adjektiven","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"","","212","",""
"On the Interpretation of Equality, Sorts, and Logic Programming","article","IBM Deutschland GmbH","LILOG-Report","",2020,"","","37","",""
"DInG - ein Domänen-orientierter Inkrementeller und Integrierter Generator für kohärente Texte","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2002,"","","237","",""
"Prozedurale Semantik. Repräsentation der Sprechergegenwart.","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2006,"","","180","",""
"Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung","article","IBM Deutschland GmbH","LILOG-Memo","",2018,"","","8","",""
"""Dictionary Dialog"" - Entwurf des Funktionsumfangs für eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterstützten Übersetzungssystems und prototypische Erstellung der Bildschirmfolge für die Funktion ""Semantische Relation""","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2012,"","","220","",""
"Zur Behandlung komplexer Objekte in LILOG","article","IBM Deutschland GmbH","LILOG-Memo","",2002,"spanish","","4","",""
"Computational aspects of three-valued logic","article","IBM Deutschland GmbH","LILOG-Report","",1974,"","","26","",""
"Semantics of Logic Programs with Equational Abstract Data Type Specifications","article","IBM Deutschland GmbH","LILOG-Report","",2022,"","","38","",""
"Processing Spatial Knowledge in LILOG","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2002,"afrikaans","","157","",""
"A Reusable Lexical Database Tool for Machine Translation","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2014,"","","231","",""
"Der Lambek-Kalkül. Eine Logik für lexikalische Grammatiken","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2012,"italian","","146","",""
"Parenthetische Konstruktionen des Deutschen.","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"","","199","",""
"Symmetric Coordination: An Alternative Theory of Phrase Structure","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1999,"","","241","",""
"An Approach to Manage Large Inheritance Networks","article","IBM Deutschland GmbH","LILOG-Report","",2016,"","","8","",""
"On the Problem of Masking Special Errors by Serial Signature Analysis","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"","","151","",""
"Eine dreiwertige Logik zur Verarbeitung partieller Information","article","IBM Deutschland GmbH","LILOG-Report","",2021,"","","27","",""
"An Inference Engine for Function Free Logic Programs","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1982,"","","132","",""
"Aspekte der Generierung von Wegbeschreibungen","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2016,"","","190","",""
"Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2016,"spanish","","114","",""
"A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2015,"italian","","144","",""
"Subsumtion für eine erweiterte attributive Sortenbeschreibungssprache","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1985,"","","83","",""
"Mathematische Grundlagen der formalen Linguistik - Ein Kompendium","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2001,"","","121","",""
"Die Struktur des Lexikons für LILOG","article","IBM Deutschland GmbH","LILOG-Report","",1994,"","","29","",""
"Die Konzeption des EXCEPT-Systems: Ein Überblick","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2016,"","","130","",""
"Richtungsangabe oder Wegkonnektor? Rämliches ""Zurück"" und seine Semantik","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"","","210","",""
"Vorüberlegungen zur depiktionalen Repräsentation räumlichen Wissens","article","IBM Deutschland GmbH","LILOG-Report","",2018,"","","19","",""
"Fully Persistent B","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"","","135","",""
"Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?","article","IBM Deutschland GmbH","LILOG-Report","",2013,"afrikaans","","11","",""
"Database Snapshots.","article","","Research Report / RJ / IBM / San Jose, California","",2009,"","","RJ2772","",""
"At Ease with ""AT""","article","IBM Deutschland GmbH","LILOG-Report","",2021,"afrikaans","","23","",""
"Datenbankunterstützung für wissensbasierte Systeme","article","IBM Deutschland GmbH","LILOG-Report","",2014,"french","","10","",""
"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2019,"english","","171","",""
"Temporales Schließen in einem natürlichsprachlichen System","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1994,"","","162","",""
"Zur intelligenten Organisation von Wissensbeständen in künstlichen Systemen","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2002,"","","91","",""
"The Semantics of Asserting and Retracting Clauses to Logic Programs","article","IBM Deutschland GmbH","LILOG-Report","",2020,"","","7","",""
"Correctness Proof for the WAM","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2015,"spanish","","205","",""
"Word Order and Focus Projection","article","IBM Deutschland GmbH","LILOG-Report","",2009,"","","13","",""
"KL-ONE: Eine Einführung","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2015,"","","106","",""
"Improving the Concurrency of Integrity Checks and Write Operations","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1997,"","","134","",""
"Über Vergleichskonstruktionen","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2019,"italian","","96","",""
"Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2012,"","","192","",""
"Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2019,"","","107","",""
"Wissensbasierte Systeme in der Medizin: GMDS/GI, Abstracts des 1. gemeinsamen Workshops der AG Expertensysteme der GMDS und der FG Diagnostik und Klassifikation im GI-Fachausschuß 1.5, 29.-30. März 1990, Heidelberg","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","","1990","french","","112","",""
"An Environment for Experimentation with Parsing Strategies","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2013,"","","167","",""
"Logisches Clustering von PROTOS-L Prozeduren","article","IBM Deutschland GmbH","LILOG-Report","",2016,"","","50","",""
"Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2007,"","","232","",""
"A Model Elimination Calculus for Generalized Clauses","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2012,"","","182","",""
"Quantitative Analysen zu Wörterbüchern","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"","","189","",""
"Lexical Representation of Idioms","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2021,"","","169","",""
"The LILOG Knowledge Representation System","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"english","","156","",""
"Mengenkonzepte in Unifikationsgrammatiken","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2016,"","","223","",""
"The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.","article","","Research Report / RJ / IBM / San Jose, California","April",2010,"","","RJ1200","",""
"On the Treatment of Compounds in Machine Translation. A Study","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2005,"spanish","","221","",""
"Position und Bewegung: Zur Semantik lokaler Verben","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2009,"","","138","",""
"Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2012,"afrikaans","","217","",""
"A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"","","200","",""
"Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2021,"","","178","",""
"Umweltbewertung mit EXCEPT: Darstellung aus ökologischer Sicht","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","","1991","","","195","",""
"Lernverfahren zur Vervollständigung von Hornklauselmengen durch inverse Resolution","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"","","84","",""
"Ein Beispiel zur wissensbasierten Produktionsplanung mit PROTOS-L.","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2010,"","","170","",""
"Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Ansätze","article","IBM Deutschland GmbH","LILOG-Report","",1998,"","","35","",""
"Standards für das Programmieren in Prolog für LILOG, Version 2.0","article","IBM Deutschland GmbH","LILOG-Memo","",1997,"english","","5","",""
"The Term Retrieval Abstract Machine","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2014,"","","202","",""
"Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2006,"","","224","",""
"Feature Constraint Logics for Unification Grammars","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1984,"","","93","",""
"Ein Transaktionskonzept für LILOG","article","IBM Deutschland GmbH","LILOG-Memo","",2014,"","","3","",""
"Disjunctive Unification","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2017,"","","124","",""
"Ereignisse und Repräsentationen","article","IBM Deutschland GmbH","LILOG-Report","",1978,"","","43","",""
"On the Role of Reasoning about Change in the Projection of Presuppositions","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"","","234","",""
"A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2017,"","","115","",""
"A Brief Overlook of LILOG-DB","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2021,"spanish","","102","",""
"Leistungsanalyse des Datenbanksystems LILOG-DB","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"","","198","",""
"RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.","article","","Research Report / RJ / IBM / San Jose, California","January",2018,"","","RJ2144","",""
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2000,"english","","194","",""
"Tableau Calculus for Order Sorted Logic","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2005,"","","108","",""
"Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln","article","IBM Deutschland GmbH","LILOG-Memo","",2020,"","","6","",""
"Sort-Lattice Management in LILOG-DB","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2009,"","","99","",""
"Sorted Feature Terms and Relational Dependencies","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2018,"spanish","","153","",""
"Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2018,"","","72","",""
"Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2018,"","","70","",""
"Wissensbasisverwaltung für LILOG","article","IBM Deutschland GmbH","LILOG-Report","",1999,"","","30","",""
"How to Fit the Lambek Calculus into the Chomsky Hierarchy","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"","","80","",""
"Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2009,"","","92","",""
"Strategien zur Pronominalisierung","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2008,"spanish","","110","",""
"Index Path Length Evaluation for the Research Storage System of System R.","article","","Research Report / RJ / IBM / San Jose, California","January",2018,"english","","RJ2736","",""
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2021,"","","213","",""
"Operationen in erweiterten Typunifikationsformalismen","article","IBM Deutschland GmbH","LILOG-Report","",2019,"italian","","46","",""
"WebS - ein System zur Generierung von Wegbeschreibungen","article","IBM Deutschland GmbH","LILOG-Memo","",2011,"","","11","",""
"Statistische Untersuchungen an einsprachigen Zeitungstexten","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1994,"","","233","",""
"International Workshop on Terminological Logics - Proceedings","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","","1991","","","184","",""
"LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung","article","IBM Deutschland GmbH","LILOG-Report","",2019,"afrikaans","","1","",""
"Mathematical Logic and Artificial Intelligence","article","IBM Deutschland GmbH","LILOG-Report","",2019,"french","","6","",""
"Syntaktische Merkmale deutsche Substantive","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2021,"","","214","",""
"Die Behandlung von mehrdeutigen Verben in der Maschinellen Übersetzung","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1992,"","","158","",""
"Untersuchung zur verteilten Produktionsplanung mit Methoden der logischen Programmierung","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2014,"afrikaans","","215","",""
"Stepwise Software Development with Algebraic Specifications","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"","","140","",""
"Types, Modules and Databases in the Logic Programming Language PROTOS-L","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2019,"","","88","",""
"The Knowledge Representation Language L","article","IBM Deutschland GmbH","LILOG-Report","",2022,"","","41","",""
"Eine Prolog-Theorie für zeitliche Beziehungen zwischen Ereignissen","article","IBM Deutschland GmbH","LILOG-Report","",1997,"","","14","",""
"The Stuttgart Type Unification Formalism - User Manual","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"","","168","",""
"Lokale Verben und Präpositionen: Semantische und konzeptuelle Verarbeitung in LEU II","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1984,"","","119","",""
"ILFA Interface Concept","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1989,"afrikaans","","193","",""
"Transactions and Consistency in Distributed Database Systems.","article","","Research Report / RJ / IBM / San Jose, California","June",2015,"afrikaans","","RJ2555","",""
"Knowledge Representation in LILOG","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2021,"","","90","",""
"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"english","","117","",""
"Using Knowledge-Based Methods to Administrate an Access Control System","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2002,"","","222","",""
"Zur Verarbeitung von Lokalisierungsausdrücken in einem hybriden System","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2015,"","","211","",""
"Integration von Constraints in die L","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2012,"french","","85","",""
"Mentale Bilder und Wegbedeutungen","article","IBM Deutschland GmbH","LILOG-Report","",2013,"","","20","",""
"Pluralbehandlung in natürlichsprachlichen Wissensverabeitungssystemen","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2012,"","","73","",""
"An Order-Sorted Logic for Knowledge Representation Systems","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"french","","113","",""
"Incremental Vocabulary Extensions in Text Understanding Systems","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2011,"","","152","",""
"Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2014,"","","179","",""
"Database Support for the PROTOS-L System","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"afrikaans","","71","",""
"Anaphora Resolution for Machine Translation: A Study","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2000,"","","187","",""
"Koordination von nichtverbalen Satzkonstituenten","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1991,"","","74","",""
"The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"french","","103","",""
"A Conceptual Model for Time","article","IBM Deutschland GmbH","LILOG-Report","",2022,"italian","","2","",""
"Standards für das Programmieren in Prolog für LILOG, Version 1.0","article","IBM Deutschland GmbH","LILOG-Memo","",2005,"","","1","",""
"Qualitätssicherung durch Programmverifikation und algebraische Methoden in der Softwareentwicklung","article","IBM Deutschland GmbH","LILOG-Report","",2019,"spanish","","42","",""
"Feature Graphs and Abstract Data Types: A Unifying Approach","article","IBM Deutschland GmbH","LILOG-Report","",2021,"","","39","",""
"The Many-Valued Theorem Prover ","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1995,"afrikaans","","227","",""
"Rekonstruktion von Hintergrundwissen für ein wissensbasiertes textverstehendes System","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"english","","129","",""
"A Feature Logic with Subsorts","article","IBM Deutschland GmbH","LILOG-Report","",1982,"","","33","",""
"Draft Report of the Logic Programming Language PROTOS-L","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2021,"","","175","",""
"EFTA: An Algebra for Deductive Retrieval of Feature Terms","article","IBM Deutschland GmbH","LILOG-Report","",2022,"","","58","",""
"EFTA Query Processing in LILOG-DB","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1987,"english","","98","",""
"A Polynomial Method for Finding Irregularities in Large Example Sets","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2020,"","","183","",""
"Compilation of Complex DATALOG with Stratified Negation","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2022,"","","104","",""
"Interaktion von propositionalen und bildhaften Repräsentationen","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2016,"","","122","",""
"An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2021,"","","86","",""
"XRM - An Extended (N-ary) Relational Memory.","article","IBM Cambridge Scientific Center","Research Report / G / IBM / Cambridge Scientific Center","January",2018,"","","G320-2096","",""
"Representation and Reasoning with Attributive Descriptions","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2006,"english","","81","",""
"Untersuchungen zum Grundwortschatz","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2017,"","","164","",""
"Ein modularer Ansatz für prinzipienbasiertes Parsing","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1990,"","","139","",""
"Quantifikation, Plural, Ereignisse und ihre Argumente in einer mehrsortigen Sprache der Prädikatenlogik erster Stufe","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",1989,"english","","67","",""
"OSKAR - A PROLOG Programm for Modelling Dimensional Designation and Positional Variation of Objects in Space","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2012,"spanish","","109","",""
"Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2021,"","","181","",""
"Textunderstanding in LILOG - Sorts and Reference Objects","article","IBM Deutschland GmbH","LILOG-Report","",2011,"","","25","",""
"SQL/Data System, Conpects and Facilities.","article","IBM Corporation, White Plains, NY","IBM Publication","","1981","afrikaans","","GH24-5013","",""
"Derivationsmorphologie in einem Übersetzungssystem","article","IBM Germany Science Center, Institute for Knowledge Based Systems","IWBS Report","",2006,"","","235","",""
