"citing","cited"
"Object Model Capabilities For Distributed Object Management.","Client Puzzles."
"Object Model Capabilities For Distributed Object Management.","Kerckhoffs' Principle."
"Object Model Capabilities For Distributed Object Management.","Simultaneous Transactions."
"Object Model Capabilities For Distributed Object Management.","Authenticated encryption."
"Object Model Capabilities For Distributed Object Management.","A Reusable Lexical Database Tool for Machine Translation"
"Object Model Capabilities For Distributed Object Management.","Genetically Improved Software."
"Object Model Capabilities For Distributed Object Management.","An Evaluation of Object-Oriented DBMS Developments: 1994 Edition."
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","EFTA Query Processing in LILOG-DB"
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","Secure Hash Algorithm."
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","On the Role of Reasoning about Change in the Projection of Presuppositions"
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","Detecting Communities in Social Networks."
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","Privacy-Preserving Authentication in Wireless Access Networks."
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","Communication Channel Anonymity."
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","Memory and State Exhaustion Denial of Service."
"Integrating Object-Oriented Applications and Middleware with Relational Databases.","Elliptic Curve Point Multiplication Using Halving."
"Towards a Transaction Management System for DOM.","A New Proof of the Beckenbach Inequalities"
"Towards a Transaction Management System for DOM.","CRYPTREC (Japanese Cryptographic Algorithm Evaluation Project)."
"Towards a Transaction Management System for DOM.","Undeniable Signatures."
"Towards a Transaction Management System for DOM.","Lattice-Based Cryptography."
"Towards a Transaction Management System for DOM.","Zum Gleichgewichtsverhalten von Markov-Prozessen"
"Towards a Transaction Management System for DOM.","Side-Channel Leakage."
"Towards a Transaction Management System for DOM.","Reverse Public Key Encryption."
"Towards a Transaction Management System for DOM.","DES-X (or DESX)."
"Towards a Transaction Management System for DOM.","Biometric Sample Quality."
"Towards a Transaction Management System for DOM.","Authorization."
"Towards a Transaction Management System for DOM.","Operationen in erweiterten Typunifikationsformalismen"
"Towards a Transaction Management System for DOM.","PROTOS-L: Towards a Knowledge Base Programming Language"
"Towards a Transaction Management System for DOM.","Privileges in SQL."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Boolean Functions."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Exponentiation Algorithms."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","A New LP-Bound in Multivariate Lipschitz Optimization: Application to Unconstrained and Linearly Constrained Problems and to Systems of Inequalities"
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Known plaintext attack."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Temperature Attack."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Secure Coprocessor."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Cookie."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","One Time Password, from a Key Management Perspective."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Introduction to Ubiquitous Computing."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Software-Based Attestation."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Access Matrix."
"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","Multiplicative Knapsack Cryptosystem."
"MetaObject Protocol Concepts for a RISC Object Model.","AAL in the Health Space - A Reflection."
"MetaObject Protocol Concepts for a RISC Object Model.","Project Athena."
"MetaObject Protocol Concepts for a RISC Object Model.","Probabilistic Primality Test."
"MetaObject Protocol Concepts for a RISC Object Model.","LCM."
"MetaObject Protocol Concepts for a RISC Object Model.","Biometric Cryptosystem."
"MetaObject Protocol Concepts for a RISC Object Model.","Rekonstruktion von Hintergrundwissen für ein wissensbasiertes textverstehendes System"
"MetaObject Protocol Concepts for a RISC Object Model.","Parallelizable Message Authentication Code."
"MetaObject Protocol Concepts for a RISC Object Model.","Niederreiter Encryption Scheme."
"MetaObject Protocol Concepts for a RISC Object Model.","Electronic-Early Warning Scorecard: An Intelligent Context Aware Decision Making Approach for Patient Monitoring."
"MetaObject Protocol Concepts for a RISC Object Model.","Hyperelliptic Curve Discrete Logarithm Problem (HECDLP)."
"Object Data Language Facilities for Multimedia Data Types.","Rijndael."
"Object Data Language Facilities for Multimedia Data Types.","Static Program Analysis."
"Object Data Language Facilities for Multimedia Data Types.","Wireless and Mobile Communications."
"Object Data Language Facilities for Multimedia Data Types.","Face Recognition in Ambient Intelligence Applications."
"Object Data Language Facilities for Multimedia Data Types.","Computational Complexity."
"Object Data Language Facilities for Multimedia Data Types.","Nonlinearity of Boolean Functions."
"Object Data Language Facilities for Multimedia Data Types.","Random Key Predistribution."
"Object Data Language Facilities for Multimedia Data Types.","Secure Shell."
"Object Data Language Facilities for Multimedia Data Types.","Control Vectors."
"Object Data Language Facilities for Multimedia Data Types.","Access structure."
"Object Data Language Facilities for Multimedia Data Types.","Structure and Dynamics of Social Networks Revealed by Data Analysis of Actual Communication Services."
"Object Data Model Facilities for Multimedia Data Types.","Remote Attestation."
"Object Data Model Facilities for Multimedia Data Types.","Differences in productivity and impact across the different computer science subareas."
"Object Data Model Facilities for Multimedia Data Types.","Specific Emitter Verification (SEV)."
"Object Data Model Facilities for Multimedia Data Types.","Software-Based Attestation."
"Object Data Model Facilities for Multimedia Data Types.","Knowledge in Operation"
"Object Data Model Facilities for Multimedia Data Types.","Fiat-Shamir Identification Protocol And The Fiat-Shamir Signature Scheme."
"Object Data Model Facilities for Multimedia Data Types.","PKI."
"Object Data Model Facilities for Multimedia Data Types.","Secret Key Cryptosystem."
"Object Data Model Facilities for Multimedia Data Types.","NSS."
"Object Data Model Facilities for Multimedia Data Types.","Sequences."
"Object Data Model Facilities for Multimedia Data Types.","MILS."
"Object Data Model Facilities for Multimedia Data Types.","Using Human Factors to Guide the Design and Implementation of Consumer Health Informatics Interventions."
"Object Data Model Facilities for Multimedia Data Types.","ElGamal Digital Signature Scheme."
"Object Data Model Facilities for Multimedia Data Types.","GCM."
"Distributed Object Management Technology.","Structure and Dynamics of Social Networks Revealed by Data Analysis of Actual Communication Services."
"Distributed Object Management Technology.","Secure Device Pairing."
"Distributed Object Management Technology.","SSH."
"Distributed Object Management Technology.","Standards für das Programmieren in Prolog für LILOG, Version 1.0"
"Distributed Object Management Technology.","Firewall."
"Distributed Object Management Technology.","Privilege Management."
"Distributed Object Management Technology.","Tracing Traitors."
"Distributed Object Management Technology.","IDEA."
"Distributed Object Management Technology.","Deniable Encryption."
"Distributed Object Management Technology.","Processing Spatial Knowledge in LILOG"
"Experiments with Dispatching in a Distributed Object System.","Browser Cookie."
"Experiments with Dispatching in a Distributed Object System.","Experiments with Dispatching in a Distributed Object System."
"Experiments with Dispatching in a Distributed Object System.","Ron's Code 6."
"Experiments with Dispatching in a Distributed Object System.","The National Health Service in England - Moving to Mainstream Use of Ambient Assisted Living Technology."
"Experiments with Dispatching in a Distributed Object System.","Anthropometrics."
"Experiments with Dispatching in a Distributed Object System.","Computational Design of Optimal Output Feedback Controllers"
"Experiments with Dispatching in a Distributed Object System.","CCIT2-Code."
"Experiments with Dispatching in a Distributed Object System.","Human Ear Biometrics."
"Muffin: A Distributed Database Machine","Cold-Boot Attacks."
"Muffin: A Distributed Database Machine","Linear Cryptanalysis for Block Ciphers."
"Muffin: A Distributed Database Machine","On the GI/G/k Queue with Lebesgue-Dominated Inter-Arrival Time Distribution"
"Muffin: A Distributed Database Machine","IDEA."
"Muffin: A Distributed Database Machine","Number Field Sieve for Factoring."
"Muffin: A Distributed Database Machine","Algebraical Optimization of FTA-Expressions"
"Muffin: A Distributed Database Machine","Quantization for Probability Measures in the Prohorov Metric"
"Muffin: A Distributed Database Machine","Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution"
"Muffin: A Distributed Database Machine","Regelbasierte Extraktion und asymmetrische Fusion bibliographischer Informationen."
"Muffin: A Distributed Database Machine","Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen"
"Object Oriented DBMS as a Generalization of Relational DBMS","On Continuous Deformations of Semi-Infinite Optimization Problems"
"Object Oriented DBMS as a Generalization of Relational DBMS","Virtualized Packer."
"Object Oriented DBMS as a Generalization of Relational DBMS","Hybrid Encryption."
"Object Oriented DBMS as a Generalization of Relational DBMS","An Adequate Reducibility Concept for Problems Defined in Terms of Ordered Binary Decision Diagrams"
"Object Oriented DBMS as a Generalization of Relational DBMS","Resistance to the Standard Algebraic Attack."
"Object Oriented DBMS as a Generalization of Relational DBMS","Web 2.0 Security and Privacy."
"Object Oriented DBMS as a Generalization of Relational DBMS","Numerical Solution of a Semilinear Parabolic Control Problem"
"Object Oriented DBMS as a Generalization of Relational DBMS","Conference Keying."
"Object Oriented DBMS as a Generalization of Relational DBMS","On the GI/G/k Queue with Lebesgue-Dominated Inter-Arrival Time Distribution"
"Inheritance for ADTs (revised)","An Indefinite Preconditioner for KKT Systems Arising in Optimal Control Problems"
"Inheritance for ADTs (revised)","Diffie-Hellman Key Agreement."
"Inheritance for ADTs (revised)","SET."
"Inheritance for ADTs (revised)","Trojan Horses, Computer Viruses, and Worms."
"Inheritance for ADTs (revised)","Cut-and-choose protocol."
"Inheritance for ADTs (revised)","On MAPA/G/K/K Stations"
"Inheritance for ADTs (revised)","Conceptual Design of Secure Databases."
"Inheritance for ADTs (revised)","On the Complexity of Constructing Optimal OBDD's"
"Inheritance for ADTs (revised)","Alberti encryption."
"Inheritance for ADTs (revised)","Smartcard Tamper Resistance."
"Inheritance for ADTs (revised)","A Lagrangian Method for Solving the Optimal Output Feedback Design Problem"
"Inheritance for ADTs (revised)","SWP."
"Inheritance for ADTs (revised)","Public-Key Cryptosystem."
"Inheritance for ADTs (revised)","Keystroke Dynamics."
"Modification of User Defined Types","PEM, Privacy Enhanced Mail."
"Modification of User Defined Types","Privacy-Aware Access Control Policies."
"Modification of User Defined Types","Spatial Queues with Infinitely Many Servers"
"Modification of User Defined Types","The Möbius Function, Variations Ranks, and Theta(n)-Bounds on the Modular Communication Complexity of the Undirected Graph Connectivity Problem"
"Modification of User Defined Types","Elliptic Curve Trace Computation."
"Modification of User Defined Types","Android's Security Framework-Understanding the Security of Mobile Phone Platforms."
"Modification of User Defined Types","NESSIE Project."
"Modification of User Defined Types","QRP."
"Modification of User Defined Types","Weak keys."
"Modification of User Defined Types","Protection."
"Modification of User Defined Types","Mathematical Logic and Artificial Intelligence"
"Modification of User Defined Types","Combination generator."
"Modification of User Defined Types","Handwriting Analysis."
"Object ADTs (with improvements for Value ADTs)","Development and Programming of Deductive Databases with PROTOS-L"
"Object ADTs (with improvements for Value ADTs)","Electro-Magnetic Fingerprinting."
"Object ADTs (with improvements for Value ADTs)","Security of Group Communication in Wireless Mesh Networks."
"Object ADTs (with improvements for Value ADTs)","DNA."
"Object ADTs (with improvements for Value ADTs)","Regularized Penalty Method for Parabolic Optimal Control Problems"
"Object ADTs (with improvements for Value ADTs)","Verarbeitung von Vagheits- und Unsicherheitsbewertungen: Tools für das Testen von Ansätzen für die Unifikation und die Logikbehandlung von mit Unsicherheit und Vagheit bewerteten Graphen im L-LILOG-STUF-Graphenkonzept"
"Object ADTs (with improvements for Value ADTs)","Privacy-Aware Database."
"Object ADTs (with improvements for Value ADTs)","Some Heuristics for Generating Tree-like FBDD Types"
"Object ADTs (with improvements for Value ADTs)","R&D Projects Related to AAL in TECNALIA's Health Technologies Unit."
"Object ADTs (with improvements for Value ADTs)","FPGA Field Programmable Gate Array."
"Object ADTs (with improvements for Value ADTs)","A Logical Operational Semantics of Full Prolog"
"Object ADTs (with improvements for Value ADTs)","Site Characterization Using GP, MARS and GPR."
"Object ADTs (with improvements for Value ADTs)","Radio Fingerprinting."
"Unification of Value and Object ADTs","The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report"
"Unification of Value and Object ADTs","Trusted Computing Group."
"Unification of Value and Object ADTs","Zur Berechnung optimaler Steuerungen über Momentenungleichungen"
"Unification of Value and Object ADTs","Security of Web Browser Scripting Languages."
"Unification of Value and Object ADTs","Data Mining (Privacy in)."
"Unification of Value and Object ADTs","Whirlpool."
"Unification of Value and Object ADTs","Enigma."
"Unification of Value and Object ADTs","ICL - An Integrity Control Language: Konzeption und Implementierung einer formalen Sprache zur Integritätskontrolle von Wissensbasen"
"Unification of Value and Object ADTs","Successive Determination and Verification of Polytopes by their X-Rays"
"Unification of Value and Object ADTs","Multidimensional Databases."
"Unification of Value and Object ADTs","Dictionary Attack (I)."
"Unification of Value and Object ADTs","Security of Wireless Mesh Networks (General Overview)."
"Unification of Value and Object ADTs","Security Token."
"Unification of Value and Object ADTs","Network Bandwidth Denial of Service (DoS)."
"Unification of Value and Object ADTs","Image Classification with Genetic Programming: Building a Stage 1 Computer Aided Detector for Breast Cancer."
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","Field Polynomial."
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks"
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","Phi Function."
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","Analysis of Social Networks Extracted from Log Files."
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","Die Konzeption des EXCEPT-Systems: Ein Überblick"
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","Binary GCD Algorithm."
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","Nearest Vector Problem."
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","A Pre-Dual for the Convolution Algebra D'(Gamma+)"
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","E-Privacy."
"Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen","Vom M/G/1- zum BMAP/G/1-Modell"
"Algebraical Optimization of FTA-Expressions","System-Level Design."
"Algebraical Optimization of FTA-Expressions","Temporal Access Control."
"Algebraical Optimization of FTA-Expressions","Cube Attack."
"Algebraical Optimization of FTA-Expressions","SQL/Data System, Conpects and Facilities."
"Algebraical Optimization of FTA-Expressions","Object Oriented DBMS as a Generalization of Relational DBMS"
"Algebraical Optimization of FTA-Expressions","HTTP Session Security."
"Algebraical Optimization of FTA-Expressions","Stochastic Constraint Aggregation Method for Convex Semi-Infinite Problems"
"Algebraical Optimization of FTA-Expressions","SSS."
"Algebraical Optimization of FTA-Expressions","Binary GCD Algorithm."
"Algebraical Optimization of FTA-Expressions","Exhaustive Key Search."
"Algebraical Optimization of FTA-Expressions","Wireless and Mobile Communications."
"Algebraical Optimization of FTA-Expressions","Key Recovery."
"Wissensrepräsentation und Maschinelles Lernen","Multiple Encryption."
"Wissensrepräsentation und Maschinelles Lernen","Handbook of Social Network Technologies and Applications"
"Wissensrepräsentation und Maschinelles Lernen","A Note on Spectral Lower Bound Arguments for Decision Trees"
"Wissensrepräsentation und Maschinelles Lernen","GCD."
"Wissensrepräsentation und Maschinelles Lernen","Microdata Disclosure Protection."
"Wissensrepräsentation und Maschinelles Lernen","Online Identities and Social Networking."
"Wissensrepräsentation und Maschinelles Lernen","Ontologies for Scalable Services-Based Ubiquitous Computing."
"Wissensrepräsentation und Maschinelles Lernen","Human Ear Verification."
"Wissensrepräsentation und Maschinelles Lernen","BLS Short Digital Signatures."
"An Algebraic Characterization of STUF","CMVP - Cryptographic Module Validation Program."
"An Algebraic Characterization of STUF","Modification of User Defined Types"
"An Algebraic Characterization of STUF","A Model for Discourse Particles"
"An Algebraic Characterization of STUF","Utility Function Programs and Optimization over the Efficient Set in Multiple Objective Decision Making"
"An Algebraic Characterization of STUF","Ubiquitous Services and Business Processes."
"An Algebraic Characterization of STUF","Pseudo-random number generator."
"An Algebraic Characterization of STUF","Feature Graphs and Abstract Data Types: A Unifying Approach"
"An Algebraic Characterization of STUF","Talker Recognition."
"An Algebraic Characterization of STUF","Secure Remote Programming."
"An Algebraic Characterization of STUF","Fingerprint Authentication."
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","DNA."
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","Anomalous Binary Curves."
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","Stack (Buffer) Overrun."
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","At Ease with ""AT"""
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","Advanced Hands and Eyes Interaction."
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","Two Program Comprehension Tools for Automatic Parallelization: A Comparative Study"
"A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds","Biometric Authentication."
"Zur Systemarchitektur von LILOG","Universal Integrated Circuit Card."
"Zur Systemarchitektur von LILOG","Group Signatures."
"Zur Systemarchitektur von LILOG","International Workshop on Terminological Logics - Proceedings"
"Zur Systemarchitektur von LILOG","Convergence Rate of the Augmented Lagrangian SQP Method"
"Zur Systemarchitektur von LILOG","Modeling Temporal Variation in Social Network: An Evolutionary Web Graph Approach."
"Zur Systemarchitektur von LILOG","A Comparison of Numerical Methods for Optimal Shape Design Problems"
"Zur Systemarchitektur von LILOG","Subgroup Cryptosystems."
"Zur Systemarchitektur von LILOG","Tamper Evidence."
"Zur Systemarchitektur von LILOG","OAEP: Optimal Asymmetric Encryption Padding."
"Zur Systemarchitektur von LILOG","Handbook of Research on Ubiquitous Computing Technology for Real Time Enterprises"
"Zur Systemarchitektur von LILOG","Secure Device Pairing."
"Zur Systemarchitektur von LILOG","ARIA."
"Zur Systemarchitektur von LILOG","Introduction to Ubiquitous Computing."
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Luby-Rackoff Ciphers."
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Network Bandwidth Denial of Service (DoS)."
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Shamir's Trick."
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Confirmer Signatures."
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Probabilistic Verification of Multiple-Valued Functions"
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Nucleic Acid."
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Worms in Cellular Networks."
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke"
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Devices and Infrastructure to Facilitate AAL."
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","Differential Power Analysis."
"Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG","A Model for Discourse Particles"
"Definite Resolution over Constraint Languages","One-Time Password."
"Definite Resolution over Constraint Languages","Inference Control."
"Definite Resolution over Constraint Languages","Information Security Management System."
"Definite Resolution over Constraint Languages","PRESENT - Block Cipher."
"Definite Resolution over Constraint Languages","Undeniable Signatures."
"Definite Resolution over Constraint Languages","Analysis and Manipulation of Boolean Functions in Terms of Decision Graphs"
"Definite Resolution over Constraint Languages","Secure Data Aggregation."
"Definite Resolution over Constraint Languages","FLL: A First-Order Language for Deductive Retrieval of Feature Terms"
"Definite Resolution over Constraint Languages","BLP."
"Definite Resolution over Constraint Languages","Delivering Technology Enriched Health and Social Care: Policy Context for User Focused Research."
"Definite Resolution over Constraint Languages","Firewalls."
"Definite Resolution over Constraint Languages","Access Limitation."
"Dokumentation der Syntax der LILOG-Grammatik","Polybios Square Encryption."
"Dokumentation der Syntax der LILOG-Grammatik","DNS-Based Botnet Detection."
"Dokumentation der Syntax der LILOG-Grammatik","AAL Markets - Knowing Them, Reaching Them. Evidence from European Research."
"Dokumentation der Syntax der LILOG-Grammatik","On Generic One-Parametric Semi-Infinite Optimization"
"Dokumentation der Syntax der LILOG-Grammatik","RSA Digital Signature Scheme."
"Dokumentation der Syntax der LILOG-Grammatik","SET."
"Cognitive Linguistics: The Processing of Spatial Concepts","Secure Logging."
"Cognitive Linguistics: The Processing of Spatial Concepts","Probabilistic Verification of Multiple-Valued Functions"
"Cognitive Linguistics: The Processing of Spatial Concepts","Adware."
"Cognitive Linguistics: The Processing of Spatial Concepts","Privacy-Preserving Authentication in Wireless Access Networks."
"Cognitive Linguistics: The Processing of Spatial Concepts","Proton."
"Cognitive Linguistics: The Processing of Spatial Concepts","Single Euro Payments Area."
"Cognitive Linguistics: The Processing of Spatial Concepts","Keystream."
"Cognitive Linguistics: The Processing of Spatial Concepts","Managing Chronic Conditions Using Wireless Sensor Networks."
"Cognitive Linguistics: The Processing of Spatial Concepts","Authorizations management."
"LILOG-DB: Database Support for Knowledge-Based Systems","RC5."
"LILOG-DB: Database Support for Knowledge-Based Systems","On the Complexity of a Licence Constrained Job Assignment Problem"
"LILOG-DB: Database Support for Knowledge-Based Systems","Palmprint Authentication."
"LILOG-DB: Database Support for Knowledge-Based Systems","On Boolean vs. Modular Arithmetic for Circuits and Communication Protocols"
"LILOG-DB: Database Support for Knowledge-Based Systems","Uncoordinated Direct Sequence Spread Spectrum."
"LILOG-DB: Database Support for Knowledge-Based Systems","NTRUEncrypt."
"Differential Closure Computation for General Horn-Clause Queries","Social Spaces for Reseach and Innovation (SSRI): Users Leading Research and Innovation in Ambient Assisted Living."
"Differential Closure Computation for General Horn-Clause Queries","Elliptic Curve Keys."
"Differential Closure Computation for General Horn-Clause Queries","Multimodal Warehouse Project."
"Differential Closure Computation for General Horn-Clause Queries","Elliptic Curve Point Multiplication Using Halving."
"Differential Closure Computation for General Horn-Clause Queries","Keystroke Logging."
"Differential Closure Computation for General Horn-Clause Queries","Clark and Wilson Model."
"Differential Closure Computation for General Horn-Clause Queries","Dictionary Attack."
"Differential Closure Computation for General Horn-Clause Queries","RC4."
"Differential Closure Computation for General Horn-Clause Queries","Big Number Squaring."
"SQL/Data System for VSE: A Relational Data System for Application Development.","Secure Multiparty Computation."
"SQL/Data System for VSE: A Relational Data System for Application Development.","Scheduling with Constrained Processor Allocation for Interval Orders"
"SQL/Data System for VSE: A Relational Data System for Application Development.","On Structuring Domain-Specific Knowledge"
"SQL/Data System for VSE: A Relational Data System for Application Development.","Macrodata Disclosure Protection."
"SQL/Data System for VSE: A Relational Data System for Application Development.","Single Wire Protocol."
"SQL/Data System for VSE: A Relational Data System for Application Development.","Zur Systemarchitektur von LILOG"
"SQL/Data System for VSE: A Relational Data System for Application Development.","Side-Channel Attacks."
"SQL/Data System for VSE: A Relational Data System for Application Development.","Electronic Negotiable Instruments."
